height,birth year,tallest/shortest in the family,sport,wife's height
173,1993,0,1,163
172,1972,1,1,162
180,1970,2,1,160
180,1994,2,1,160
164,1980,1,1,156
177,1965,1,1,149
173,1964,1,1,158
165,1966,1,1,160
175,1969,2,1,155
165,1964,1,1,160
165,1964,1,1,160
164,1999,1,0,165
172,1968,1,0,165
162,1974,0,1,163
170,1952,2,0,155
180,2001,2,1,155
175,1965,2,1,158
172,1968,1,1,161
170,1966,1,1,163
151,1984,0,1,152
168,1973,0,1,156
173,2021,1,1,170
157,1964,0,1,152
165,1966,1,1,160
174,1961,1,1,160
176,1967,2,1,162
161,1988,1,1,153
165,2021,2,1,158
170,1985,1,1,157
166,1995,1,1,156
176,1969,1,1,163
165,1997,1,1,155
169,1976,1,1,156
180,1972,2,0,157
168,1966,2,1,158
168,1960,1,1,165
167,1962,1,1,152
163,1983,0,0,160
167,1973,0,0,152
168,1994,0,1,153
176,1998,1,1,158
168,1985,1,1,158
170,1972,2,0,150
176,1999,2,1,155
165,1966,2,0,155
178,1970,2,1,155
165,1957,1,0,155
178,1970,2,1,155
165,1957,1,0,155
168,1960,1,1,165
175,1958,1,1,163
175,1964,2,1,149
172,1967,1,1,164
180,1955,2,1,160
170,1953,1,1,158
157,1958,1,1,147
174,1970,1,0,158
172,1966,1,1,160
165,1993,1,1,156
165,1964,1,1,160
161,1974,1,0,162
167,1958,2,1,154
168,1968,1,1,155
165,1960,1,1,158
170,1963,1,1,158
165,1995,2,1,163
174,1981,2,1,155
174,1981,2,1,155
170,1966,1,1,163
155,2004,1,1,161
180,1994,2,1,165
168,1987,1,1,164
173,1985,2,1,153
170,1987,2,1,150
160,2004,2,1,153
160,1977,2,1,151
171,1985,1,1,160
172,1973,1,0,172
165,1989,1,1,156
170,1973,1,0,155
180,2001,2,1,163
173,1964,1,1,167
173,1998,2,1,158
172,1998,2,1,160
173,1998,2,1,153
169,1997,1,1,150
165,1976,1,0,155
170,1999,2,1,155
160,1970,0,1,150
170,1976,1,1,165
178,1952,1,1,160
170,1975,1,1,165
165,1962,1,0,150
173,1995,2,1,168
183,1989,1,1,164
165,1990,1,1,158
170,1992,1,1,154
183,1987,2,1,167
163,1989,2,1,162
174,1989,2,1,155
170,1988,1,1,156
169,1985,1,1,160
174,1989,2,1,155
174,1990,1,0,160
172,1983,1,0,173
163,1989,2,1,162
178,1988,2,1,156
188,1987,2,1,162
172,1983,1,1,162
180,1999,2,0,160
176,1980,1,0,155
178,1999,1,0,150
177,2002,2,0,160
174,1997,1,0,164
170,2001,1,0,160
173,1994,1,0,156
171,1964,1,1,156
180,1977,2,1,164
170,1989,1,1,150
168,1985,1,1,156
170,1957,1,1,145
177,1993,2,1,166
165,1990,1,1,155
178,1994,2,1,160
169,1992,1,1,153
170,1993,1,1,149
165,1971,0,0,155
171,1995,2,0,160
170,1998,2,1,158
166,1993,0,0,161
167,1968,1,0,150
